source_id,gaia_ra,gaia_dec,gaia_ra_error,gaia_dec_error,pmra,pmdec,pmra_error,pmdec_error,gaia_epoch,cat_ra,cat_dec,cat_epoch,delta_mag,dist_sec
4892429171367335040,65.40019016727416,-27.04609316054017,0.03493599850347027,0.04550117420830172,-12.468864623801398,20.545892085868484,0.08192387715454158,0.09474133306004824,2015.5,65.400237,-27.046149,2009.3,0.73,0.232
6027693584407085056,254.39300256751926,-31.37570590993032,1.4910566797003761,0.9339687069036005,-12.919468493510985,8.647652930921927,2.6271259386861248,1.5716936781094724,2015.5,254.39371,-31.377828,2008.4,2.74,7.952
6027685097545659136,254.29885973731209,-31.520545494325987,1.5374643857655694,1.1409338275718013,-5.66989084294922,8.70025678429224,2.8013648643147158,1.8191318408749195,2015.5,254.297406,-31.5203,2009.5,5.17,4.571
6027685544222718208,254.07163892435952,-31.628937485348228,2.4357186598396945,0.9985158276177274,-2.7530958387171323,3.776416434952438,2.5399996665027555,1.6943938570887758,2015.5,254.069682,-31.62603,2008.7,3.48,12.063
6027681558489999232,254.17560427134453,-31.67437847840921,1.565271046697232,1.0891503595577312,-13.30184640360818,7.345171257222912,3.1019495039174965,1.7954214585268071,2015.5,254.176201,-31.674044,2008.4,4.31,2.157
6027688808396716288,254.15301923335826,-31.495787675629874,1.6804081925610113,1.2233174123507329,-128.9009422565504,135.54097067192492,2.9612763758586444,2.2384283484487946,2015.5,254.155199,-31.492954,2008.4,2.61,12.171
6027688808396716544,254.15284699394627,-31.49589894622555,1.6392384135765892,1.1492313903303002,-9.283945718995257,2.8919010277878305,2.6373574049666204,1.8127005542758583,2015.5,254.155199,-31.492954,2008.4,2.54,12.798
6027694993154255616,254.3479395380302,-31.382459668004323,1.2310664351352614,0.957913869613538,1.2182444290469434,8.43035048588527,2.0526954987269708,1.5528572757411134,2015.5,254.349732,-31.381983,2011.2,2.38,5.739
6027698360410944896,254.37618723295662,-31.246262474676858,1.2678622060674114,1.2470475232108218,-11.966075596639564,6.781639140278795,2.3307871890612555,1.9731641268249709,2015.5,254.376869,-31.245759,2005.6,4.62,2.741
6027696264465863424,254.2334867403389,-31.343355290097065,1.3098595744292656,0.9529414133899852,-0.6598890947008333,-0.2981039360680472,2.329276374256059,1.5949901426135955,2015.5,254.23101,-31.344431,2008.7,4.72,8.575
6027700387637490432,253.99368421857025,-31.459295582455397,1.8945984648344156,1.0966760019599924,-1.0412613110614533,4.439233471202504,3.2287217994962436,1.8080320927322169,2015.5,253.9905,-31.458298,2009.5,4.57,10.437
6027696058308357760,254.29518668933304,-31.35566304598321,1.6184587583827226,1.0592079964394474,-12.47086705164148,15.001385676909184,3.7343195979475765,1.939076864003864,2015.5,254.29928,-31.354339,2008.7,5.27,13.425
3999433452516434560,180.18576535460744,20.848186880832397,0.047755113266332284,0.02893858519036523,-129.49672692481522,235.9547248878534,0.10426926533681984,0.06096627126712206,2015.5,180.186335,20.847203,2000.5,0.41,4.012
4051765258240341888,277.4397687423492,-27.47240637600302,1.2696028138852653,1.1266026795878876,-27.405706882933522,12.563204872137485,2.2597981001306406,1.886608594136259,2015.5,277.439002,-27.473138,2003.6,4.9,3.628
4051767869640471168,277.2604935725612,-27.43230841007973,1.0545212819175664,1.0204015491217384,-32.53970485340337,18.963046478021692,1.7044518708690242,1.4767176538007534,2015.5,277.261808,-27.430231,2003.6,2.84,8.548
2877522230262577024,2.169965152444446,36.626589527193254,0.037718680060607794,0.02230339213026337,-114.06869930444664,-124.30038866640952,0.055845172601516564,0.033946292509056716,2015.5,2.170857,36.627062,2002.7,0.64,3.057
4089359725486922880,275.132162070102,-24.00048909998126,1.1020375304215524,1.0200687418880696,-7.9358548286223805,4.877275772464745,1.7920976782460498,1.5816515634524542,2015.5,275.13108,-23.999327,2005.0,3.57,5.492
4038375680551085184,273.64344414974585,-35.77343855860148,1.2387204410399084,1.435151511847381,-25.468632503468232,11.9540959513404,2.0579388092626587,1.9538773530764808,2015.5,273.64665,-35.771949,2006.9,2.76,10.76
2686719884389687040,322.9981677135474,-1.3354701376279616,0.5209044850620048,0.5570862837869708,-95.4914424828376,-239.3776220807346,0.9631719380065108,0.959436787843848,2015.5,322.998485,-1.334695,2003.0,0.52,2.989
6038488383397601152,242.45394956647903,-30.515440183664776,0.07475668486470266,0.03325853264612411,46.81249007433723,39.03779697317624,0.15861837842362392,0.0815412950902741,2015.5,242.453818,-30.515517,2007.1,0.73,0.524
6038462613596055808,244.05383817456558,-29.62587579781432,0.0344808289496483,0.016463708952742736,-59.87219924757179,-117.21737845462492,0.08388213522515499,0.05501115657986385,2015.5,244.054057,-29.625491,2004.1,0.36,1.52
2590679197266003200,20.87072480698097,15.292488184476044,0.11928456190359442,0.08600391139193052,-33.315634136632966,-312.29271896268267,0.2374754337330161,0.17084405615820875,2015.5,20.870903,15.293742,2001.7,1.13,4.551
4407462419447213184,246.03029789374585,-0.25687997394147943,0.6512075355902094,0.7697671252652071,-0.083737874405371,-9.852902891769457,1.0817718970498025,1.0530545209734838,2015.5,246.025724,-0.253336,1999.4,2.99,20.84
3371211060034144896,99.10572478759329,18.513547760954005,0.05611653710510873,0.05355844045500529,13.252608463043835,-185.62893878477317,0.11093208177773488,0.09896599333033797,2015.5,99.105642,18.514236,2002.1,0.54,2.517
4145011265935860864,270.16197597418824,-16.68468726140543,0.9581517019505986,1.3425258513054024,-13.928611626781109,4.757048862819799,1.757057968839471,1.5387417474293552,2015.5,270.160956,-16.684362,2002.6,2.8,3.724
