RA[deg]          	Decl [deg]          	|CMC15  |PanSt1 |2MASSAS|SDSS12 |URAT1  |UCAC4  |total
309.431856763153917	 17.120841410302468	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
309.684760249912642	 17.332419560848983	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
159.348077765322671	 33.939240861978824	|success|  NF   |  NF   |  NF   |  NF   |success|2
160.761326206184634	 34.444002249930122	|success|  NF   |  NF   |  NF   |  NF   |success|2
268.685178079002583	-37.029385988143908	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
267.184962739421849	-35.732765266235681	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
268.660548021213231	-36.963357966275360	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
236.514726226568996	 -7.443348398257524	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
  0.603372410822665	 63.962728059457156	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
133.948568528179209	 61.166644801724864	| fail1 |  NF   |  NF   |  NF   |  NF   |  NF   |0
134.758300068465189	 60.992638257303042	| fail1 |  NF   |  NF   |  NF   |  NF   |success|1
276.380704614115075	-46.789078717065799	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
276.365843088098529	-46.768085356834987	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 97.202812148215472	-51.344140226034064	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 97.183249955336791	-51.846188369619476	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
229.507875218891087	 42.257224864170567	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
226.694256975597142	 40.670794773204030	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
117.561685995490407	  7.189246217905641	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
117.564835284643948	  7.185929236517685	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
283.078903485807814	 -4.951026881908284	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
283.024510040517157	 -4.922714006096339	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
249.554461758373520	-44.346047845155596	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
250.365516923044794	-43.988550461913157	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
267.398834915880570	-38.089169335097722	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
295.439639842937027	 20.328145651280053	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.530042472657499	 20.501219532594238	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.050191159276551	 20.370875131726137	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.492480603199567	 20.401253112325850	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.264241491782343	 20.496822524691414	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.403189708016839	 20.462673051003300	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.094285834061623	 20.470549728204368	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.031500560697395	 20.460262613591901	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
296.015935361310312	 20.326280599109488	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
296.153525330633101	 20.273435089213372	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.423828567433645	 20.424349331294621	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.422287793664566	 20.484214084898163	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.267167665341447	 20.612131664190159	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
296.029015934393499	 20.348499112981553	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.907825871930527	 20.285691107267766	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.388208707735544	 20.491492384476395	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
272.979880248567099	  6.697311366296451	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
157.787652398963047	-53.258060472775391	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
108.537094028798606	 18.483455805095559	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
110.931320687341938	 20.415298565858748	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
278.167171383430230	-22.407668940745875	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
278.156615340093879	-22.319929539442615	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
278.174020250206354	-22.380082447410754	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
278.154835164532074	-22.383681107723465	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
284.077601260619133	  7.059728124548025	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
271.650442883772314	-29.489275551140320	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
225.947882870754341	-68.215649516751270	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
197.192614833560299	 18.701683141824436	|  NF   |  NF   |  NF   |  NF   |  NF   |success|1
196.634846161738380	 19.042270043543311	|success|  NF   |  NF   |  NF   |  NF   |success|2
321.777209586097456	 16.123737099574917	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
321.790395176180141	 16.147625764532705	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
114.624099118493277	-50.071430475191235	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 10.741440433276985	 49.886549358157311	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
 11.823048503707081	 50.489591755484874	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
 11.028478203861145	 50.107044361104485	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
277.572898998547259	-14.955989443675900	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
277.299836980164116	-15.061146882133206	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
136.329646871852077	-48.112639617825408	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 76.730913521883039	-69.643257174940274	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
150.040479921144879	  6.784129444259080	|  NF   |  NF   |  NF   |  NF   |  NF   |success|1
151.241576308663980	  7.014513011680260	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
149.604940264487908	  6.948947952526876	|  NF   |  NF   |  NF   |  NF   |  NF   |success|1
144.006149112836624	-32.633608852057343	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
272.359869654785825	-45.107078582206562	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
273.913229875930767	-33.697183303996731	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
273.863672336194554	-33.557438685267954	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
274.054489254758892	-33.383101533610841	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
274.109409306079840	-33.404684602519360	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
121.362401130568372	-19.632023746151866	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
121.790825963896168	-19.190503156753177	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
121.510459472534848	-19.380025570243820	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
 70.997315911684751	 51.107638856843501	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
111.638406113203658	-25.824861850431812	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
112.295803764898537	-26.107324663721460	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.610269560292522	 31.075293813223073	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
248.882770825529406	-61.995515997034175	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
