ra,dec,pmra,pmdec,CMC15[dm|r|ra|dec|t],Pan-STARRS DR1[dm|r|ra|dec|t],2MASS All-Sky[dm|r|ra|dec|t],SDSS DR12[dm|r|ra|dec|t],URAT1[dm|r|ra|dec|t],UCAC4[dm|r|ra|dec|t]
160.54559937963225,-56.70588642079543,-6.610273300476935,33.77403918381704,,,1.18|12.863|160.53928|-56.706718|2000.1,,,5.03|2.418|160.5445483|-56.706222|1997.3
2.169965152444446,36.626589527193254,-114.06869930444664,-124.30038866640952,0.64|3.057|2.170857|36.627062|2002.7,3.86|3.875|2.16864672|36.62673635|2012.8,2.28|5.463|2.16822|36.627155|1998.8,,nan|0.325|2.1700561|36.626655|2013.5,nan|2.587|2.1705765|36.6271245|1991.2
275.132162070102,-24.00048909998126,-7.9358548286223805,4.877275772464745,1.54|14.494|275.130897|-24.004338|2005.0,0.09|24.099|275.12493059|-23.99944389|2012.5,3.97|29.483|275.132218|-24.008673|1998.5,,,2.46|19.323|275.1327848|-24.0058214|1994.5
273.64344414974585,-35.77343855860148,-25.468632503468232,11.9540959513404,2.76|10.76|273.64665|-35.771949|2006.9,,3.15|18.74|273.639505|-35.769329|1998.6,,,nan|19.072|273.6376886|-35.7709431|1995.0
322.9981677135474,-1.3354701376279616,-95.4914424828376,-239.3776220807346,0.52|2.989|322.998485|-1.334695|2003.0,1.75|0.453|322.99826955|-1.33538302|2012.5,2.83|4.016|322.998591|-1.33443|1998.7,2.61|1.495|322.998325|-1.335078|2008.9,1.83|0.576|322.9982392|-1.3353186|2013.0,1.8|3.811|322.9985636|-1.3344803|1998.1
217.6491970354521,-60.4744910154249,11.640091135153325,-7.348144675807536,,,2.41|17.416|217.644701|-60.478786|2000.2,,,4.43|29.651|217.6502745|-60.4662698|1996.9
217.98022680665557,-60.590255687529876,-1.4471761677952073,-8.018460459444588,,,2.61|25.514|217.972567|-60.596256|2000.2,,,4.28|15.395|217.9814974|-60.5944862|1990.3
242.54351439595283,-30.247346542562926,-1.2223608699842443,-3.777195670942712,,0.08|16.031|242.54770238|-30.24473577|2011.9,4.1|21.864|242.539876|-30.242151|1998.5,,,
242.45394956647903,-30.515440183664776,46.81249007433723,39.03779697317624,0.73|0.524|242.453818|-30.515517|2007.1,1.5|29.583|242.46082464|-30.50973221|2011.7,0.35|29.529|242.460797|-30.509729|1998.5,,,nan|1.034|242.4536745|-30.5155864|1979.1
244.05383817456558,-29.62587579781432,-59.87219924757179,-117.21737845462492,0.36|1.52|244.054057|-29.625491|2004.1,1.62|0.055|244.05383868|-29.62585855|2012.5,2.48|27.087|244.0565|-29.633034|1998.5,,,1.75|2.007|244.0541336|-29.6253731|1994.4
20.87072480698097,15.292488184476044,-33.315634136632966,-312.29271896268267,1.13|4.551|20.870903|15.293742|2001.7,1.32|17.757|20.86940711|15.28772477|2012.5,3.47|5.478|20.870875|15.294004|1997.7,0.13|17.765|20.869326|15.287744|2000.9,1.26|17.753|20.8694047|15.2877264|2013.3,1.19|17.771|20.8693183|15.2877445|1999.4
9.889655116145038,60.55308006404253,-157.50943792383214,-292.54303358867463,,1.63|1.464|9.89016822|60.55340699|2010.8,0.95|10.062|9.887942|60.550419|2000.8,,nan|0.679|9.8898264|60.5532542|2013.4,nan|5.042|9.8909739|60.5543273|2003.6
