gaia_ra,gaia_dec,gaia_ra_error,gaia_dec_error,gaia_epoch,cat_ra,cat_dec,cat_epoch,delta_mag,dist_sec
180.18576535460744,20.848186880832397,0.047755113266332284,0.02893858519036523,2015.5,180.186128,20.847533,2005.4,2.01,2.637
180.13649627171858,20.81528733944885,0.1336998169306355,0.09283739789035092,2015.5,180.136888,20.814636,2005.4,4.13,2.675
308.0096436108601,41.92681990974269,0.6304144673593043,1.005075279092678,2015.5,308.017822,41.928585,2003.7,2.55,22.782
322.9981677135474,-1.3354701376279616,0.5209044850620048,0.5570862837869708,2015.5,322.998325,-1.335078,2008.9,2.61,1.495
20.87072480698097,15.292488184476044,0.11928456190359442,0.08600391139193052,2015.5,20.869326,15.287744,2000.9,0.13,17.765
246.03029789374585,-0.25687997394147943,0.6512075355902094,0.7697671252652071,2015.5,246.029243,-0.251824,2001.4,0.05,18.584
236.8006503583471,-19.167650936293413,0.07751601916882196,0.060708801475621375,2015.5,236.800842,-19.167409,2005.4,2.18,1.062
159.3480777653227,33.939240861978824,0.04447152062293585,0.06569781285878443,2015.5,159.347813,33.939315,2004.1,2.39,0.849
160.7613262061846,34.44400224993012,0.033202962739622914,0.03588355423847641,2015.5,160.761298,34.444253,2004.2,1.97,0.923
133.9485685281792,61.166644801724864,0.02293470500654605,0.0252706381153454,2015.5,133.94825,61.167073,2003.8,0.73,1.659
134.7583000684652,60.992638257303035,0.05320563730540367,0.05298236218462343,2015.5,134.758639,60.993149,2003.8,2.64,1.95
229.50787521889114,42.25722486417057,0.03931602743242532,0.05033402774117005,2015.5,229.507863,42.257243,2003.3,0.82,0.067
226.69425697559714,40.67079477320403,0.03754159560469005,0.04564831905014133,2015.5,226.694642,40.670876,2002.1,2.67,1.085
117.5616859954904,7.189246217905643,0.057595480251179415,0.037670119287785415,2015.5,117.564286,7.190734,2005.8,0.56,10.712
117.56483528464396,7.1859292365176834,0.05120693992275816,0.031721318430151885,2015.5,117.564286,7.190734,2005.8,0.81,17.432
197.1926148335603,18.70168314182444,0.03936888921967036,0.029627404447544938,2015.5,197.192931,18.702539,2005.3,1.96,3.262
196.6348461617384,19.042270043543308,0.037710952886747584,0.029908506045957826,2015.5,196.63472,19.042128,2005.3,2.16,0.675
150.04047992114488,6.784129444259079,0.0822789989692849,0.06988606351533393,2015.5,150.040842,6.784399,2002.1,2.42,1.612
151.24157630866395,7.0145130116802585,0.09683349649687187,0.09454793174654412,2015.5,151.242457,7.014479,2002.2,3.18,3.127
149.6049402644879,6.9489479525268765,0.04431598198287885,0.04261448366835745,2015.5,149.604281,6.948982,2002.2,2.11,2.381
254.61026956029247,31.075293813223077,0.014827132945085609,0.019514799855091882,2015.5,254.611866,31.074395,2002.4,3.18,5.89
124.07803877664742,50.0473680050164,0.037696291745859735,0.025768367414761045,2015.5,124.078097,50.048164,2000.3,2.19,2.89
189.69042909387286,27.442971411493172,0.058978593609248814,0.03958929726336907,2015.5,189.690928,27.442885,2005.0,2.15,1.613
190.61726888044842,26.88106520746427,0.08252168725959283,0.05202961189700162,2015.5,190.617762,26.881048,2005.0,2.86,1.574
157.5734863536059,42.1518597896916,0.09108887615495144,0.09041558751172446,2015.5,157.573229,42.151922,2003.0,3.02,0.734
149.77246835521782,53.26368739093014,1.0108673667375203,1.099010580474604,2015.5,149.772879,53.26375,2002.0,0.25,0.914
138.6849883935355,-0.5964472258717584,0.20560273368491488,0.17552229591006352,2015.5,138.685538,-0.596364,2001.2,2.41,1.981
137.3756899089455,-0.3992224898607691,0.05066916398855584,0.03784176763308274,2015.5,137.375528,-0.398308,1998.9,0.7,3.367
140.0296054274279,-0.1530540110835396,0.03847783252055269,0.04663144117489965,2015.5,140.029911,-0.153115,1999.2,2.76,1.095
62.08222901283288,20.141588931458305,0.08101028521918535,0.04036911704490369,2015.5,62.078779,20.147776,2004.0,0.23,25.166
95.31595170226541,6.295745758520387,0.05157181860628998,0.05313393934717852,2015.5,95.316001,6.295846,2007.9,2.21,0.411
257.78507974478117,56.65890089802426,0.27987837130987964,0.3761921445102949,2015.5,257.785065,56.659209,2000.3,4.07,1.092
78.55494625859467,81.65621938249008,0.06548206708433055,0.07728093872515576,2015.5,78.527619,81.651296,2006.2,0.33,22.757
65.14276564583389,81.53179133609476,0.024904004058669608,0.027924854759251317,2015.5,65.144591,81.53201,2006.0,3.08,1.241
5.865570756790995,24.30734432349237,0.08837166027228603,0.0686450094549807,2015.5,5.86602,24.307112,2008.8,2.36,1.673
247.2955411128433,21.123439045497133,0.03329206125657225,0.03150430031832021,2015.5,247.29601,21.12306,2004.2,2.21,2.082
332.8501639609476,40.99992845493549,0.04964211120618837,0.061023695593364964,2015.5,332.841911,40.996084,2006.7,0.91,26.382
332.819427107264,41.01623285406047,0.021130312400617447,0.025877828887288828,2015.5,332.820161,41.015647,2006.4,1.92,2.897
146.45142457864608,28.09785291598441,0.03654615649376307,0.034548829691821104,2015.5,146.451735,28.097957,2004.3,3.83,1.048
147.2157347714491,28.43762840706761,0.26018821416029364,0.2649148433881238,2015.5,147.215433,28.438054,2004.3,2.78,1.829
144.2075197777625,27.97247770635916,0.03831588967183447,0.03553909242139885,2015.5,144.208078,27.972814,2004.3,0.66,2.147
255.9663961213989,28.85026870236755,0.020080320186088987,0.02358537455554786,2015.5,255.967259,28.849253,2003.2,2.2,4.563
150.82658322479332,9.113930958943703,0.05277485657158721,0.04865896920312392,2015.5,150.826433,9.114612,2002.9,4.48,2.531
