gaia_ra,gaia_dec,gaia_ra_error,gaia_dec_error,gaia_epoch,cat_ra,cat_dec,cat_epoch,delta_mag,dist_sec
65.40019016727416,-27.04609316054017,0.03493599850347027,0.04550117420830172,2015.5,65.400237,-27.046149,2009.3,0.73,0.232
254.39300256751926,-31.37570590993032,1.4910566797003761,0.9339687069036005,2015.5,254.39371,-31.377828,2008.4,2.74,7.952
254.29885973731209,-31.520545494325987,1.5374643857655694,1.1409338275718013,2015.5,254.29408,-31.527516,2011.2,2.66,29.094
254.07163892435952,-31.628937485348228,2.4357186598396945,0.9985158276177274,2015.5,254.070567,-31.636414,2005.5,2.46,27.135
254.17560427134453,-31.67437847840921,1.565271046697232,1.0891503595577312,2015.5,254.175861,-31.669981,2008.4,2.7,15.832
254.15301923335826,-31.495787675629874,1.6804081925610113,1.2233174123507329,2015.5,254.159445,-31.491465,2011.2,2.42,25.093
254.15284699394627,-31.49589894622555,1.6392384135765892,1.1492313903303002,2015.5,254.159445,-31.491465,2011.2,2.35,25.756
254.3479395380302,-31.382459668004323,1.2310664351352614,0.957913869613538,2015.5,254.357061,-31.380062,2005.5,2.23,29.302
254.37618723295662,-31.246262474676858,1.2678622060674114,1.2470475232108218,2015.5,254.369608,-31.25213,2005.6,3.25,29.292
254.2334867403389,-31.343355290097065,1.3098595744292656,0.9529414133899852,2015.5,254.231459,-31.337434,2007.4,3.03,22.201
253.99368421857025,-31.459295582455397,1.8945984648344156,1.0966760019599924,2015.5,253.992843,-31.464049,2008.4,2.54,17.327
254.29518668933304,-31.35566304598321,1.6184587583827226,1.0592079964394474,2015.5,254.297767,-31.348229,2007.4,3.17,27.89
180.18576535460744,20.848186880832397,0.047755113266332284,0.02893858519036523,2015.5,180.186335,20.847203,2000.5,0.41,4.012
277.4397687423492,-27.47240637600302,1.2696028138852653,1.1266026795878876,2015.5,277.440043,-27.46842,2003.5,2.29,14.355
277.2604935725612,-27.43230841007973,1.0545212819175664,1.0204015491217384,2015.5,277.261628,-27.435715,2003.6,2.04,12.802
2.169965152444446,36.626589527193254,0.037718680060607794,0.02230339213026337,2015.5,2.170857,36.627062,2002.7,0.64,3.057
275.132162070102,-24.00048909998126,1.1020375304215524,1.0200687418880696,2015.5,275.130897,-24.004338,2005.0,1.54,14.494
273.64344414974585,-35.77343855860148,1.2387204410399084,1.435151511847381,2015.5,273.64665,-35.771949,2006.9,2.76,10.76
322.9981677135474,-1.3354701376279616,0.5209044850620048,0.5570862837869708,2015.5,322.998485,-1.334695,2003.0,0.52,2.989
242.45394956647903,-30.515440183664776,0.07475668486470266,0.03325853264612411,2015.5,242.453818,-30.515517,2007.1,0.73,0.524
244.05383817456558,-29.62587579781432,0.0344808289496483,0.016463708952742736,2015.5,244.054057,-29.625491,2004.1,0.36,1.52
20.87072480698097,15.292488184476044,0.11928456190359442,0.08600391139193052,2015.5,20.870903,15.293742,2001.7,1.13,4.551
246.03029789374585,-0.25687997394147943,0.6512075355902094,0.7697671252652071,2015.5,246.025724,-0.253336,1999.4,2.99,20.84
99.10572478759329,18.513547760954005,0.05611653710510873,0.05355844045500529,2015.5,99.105642,18.514236,2002.1,0.54,2.517
270.16197597418824,-16.68468726140543,0.9581517019505986,1.3425258513054024,2015.5,270.165168,-16.684143,2002.6,2.51,11.153
270.1379688402758,-16.670546627717194,1.2045801761475503,1.715125102352021,2015.5,270.13841,-16.675136,2002.6,2.78,16.609
270.0188259017549,-16.644908321702626,1.3077406097542514,1.8910509185156419,2015.5,270.023295,-16.645829,2002.6,2.64,15.747
270.1561222881497,-16.589879081126963,1.5467982837142982,2.090338902166533,2015.5,270.153764,-16.590893,2002.6,3.31,8.948
270.15912445171193,-16.72065431279649,1.0687088756059202,1.6700827254983368,2015.5,270.159265,-16.72158,2002.6,3.02,3.384
268.65475932428103,-15.814526729615624,1.7201140441536225,1.2104548430548707,2015.5,268.656885,-15.814392,2002.6,2.56,7.353
270.1800661448332,-16.62284908362641,1.3849789576783502,1.8497299193791468,2015.5,270.180417,-16.627936,2002.6,3.06,18.371
268.6702924782644,-15.797477894978687,1.0950273005855355,1.5540135736201626,2015.5,268.673706,-15.798863,2002.7,3.16,12.818
107.8658259795923,48.327932722393726,0.047876300156160866,0.04615462363416875,2015.5,107.866281,48.329892,2003.2,0.28,7.156
108.36412189587375,48.28190587969664,0.055703266758070094,0.04636363245095562,2015.5,108.364833,48.282635,2003.4,0.95,3.138
236.8006503583471,-19.167650936293413,0.07751601916882196,0.060708801475621375,2015.5,236.800882,-19.167426,2005.1,0.74,1.102
195.0100201923456,-28.726080822944695,0.04636595531480103,0.03316662743228218,2015.5,195.008865,-28.725212,2004.3,0.49,4.83
195.03415869659096,-28.461081383007844,0.061208788305761576,0.09470319389614132,2015.5,195.034646,-28.460921,2004.3,0.57,1.62
242.11108951132567,-28.119821511115198,2.253958697992898,0.8140299971567321,2015.5,242.110285,-28.122263,2006.1,4.57,9.174
241.9204408679417,-28.418211842898344,0.06893489968876156,0.03190817048913802,2015.5,241.920898,-28.417885,2004.3,0.7,1.835
309.4318567631538,17.120841410302468,0.23938911698582802,0.22524283566192396,2015.5,309.437088,17.116559,2001.6,0.09,23.694
309.68476024991264,17.332419560848983,0.03764784156840849,0.0404518686211864,2015.5,309.685239,17.333992,2000.7,0.71,5.868
159.3480777653227,33.939240861978824,0.04447152062293585,0.06569781285878443,2015.5,159.347779,33.939339,2002.7,0.64,0.975
160.7613262061846,34.44400224993012,0.033202962739622914,0.03588355423847641,2015.5,160.761292,34.444305,2001.3,0.36,1.111
