|29.669|274.0454068|-33.3863064|1996.4
|26.814|274.101135|-33.4019089|1998.5
7.19|12.884|121.3655095|-19.6340973|1997.8
4.16|24.303|121.7841562|-19.1929209|1971.1
3.36|5.574|121.5107115|-19.3785006|1994.2
|25.801|70.9928033|51.1142145|2000.8
3.23|29.03|111.6466074|-25.8216106|1996.5
5.7|9.621|112.2985253|-26.108425|1993.9
1.72|6.054|254.6119148|31.0743756|2000.0
4.78|1.987|248.8839253|-61.9953773|1980.2
1.16|8.654|218.3913721|-9.9320306|2000.0
1.75|2.329|124.0780389|50.0480089|2000.0
|20.621|253.234813|-31.0479723|1978.3
6.27|22.529|252.9879783|-31.1707998|1997.1
|28.829|253.3263189|-31.0577762|1999.3
|9.867|252.589648|-30.9492617|1992.8
||||
6.18|8.55|253.0890509|-31.2144131|1996.8
|23.843|253.3801433|-31.0347809|1966.9
|2.072|189.6910612|27.4428289|2001.3
||||
||||
1.36|0.887|149.7728753|53.2636387|1990.8
|3.636|138.6859948|-0.5963109|2000.0
1.52|2.894|137.3756898|-0.3984242|1991.1
1.69|1.136|140.0299253|-0.1530945|1995.2
1.9|1.526|145.6224989|-55.5756262|1998.3
|28.479|301.0030168|23.260477|2001.4
|20.635|301.6903103|23.5557934|1992.7
|24.311|301.33405|23.6475187|1995.9
|24.143|300.9557365|23.3342173|1994.0
||||
4.37|3.742|253.0036292|-33.1939767|1995.3
|26.422|252.8302348|-33.1105853|1977.5
3.9|11.3|252.8478721|-33.1636923|1989.1
4.71|18.498|253.1262892|-33.2100956|1995.0
|2.037|63.0140662|20.8312662|2000.9
2.06|1.65|62.0819998|20.1419859|2000.9
|2.699|61.7635542|20.2807973|2000.9
3.9|23.25|166.0744374|-38.0435659|1976.6
1.85|2.176|174.6254274|-34.9265589|1992.6
2.16|0.788|95.3160083|6.2959531|1999.0
|21.242|288.1113577|19.4270598|1994.1
1.44|0.914|123.5327806|-68.3858795|1992.8
1.52|2.813|357.3229953|-42.1026884|1989.8
|27.068|280.8628365|-7.9430112|1998.3
|17.276|280.9603736|-8.0086134|1999.7
1.88|1.217|105.0923821|58.873905|1989.5
|1.751|98.9242824|59.7384109|2000.0
1.67|2.321|115.8628956|8.2572542|1999.6
2.43|0.254|257.8732068|-16.4919059|1990.0
|15.55|242.9190798|-34.6946956|1980.9
7.27|23.447|250.4533542|-31.8894392|1998.4
|11.545|250.4357924|-31.7248528|1978.6
|16.219|261.1709298|-46.2607256|1979.8
1.85|3.847|255.29806|55.5834164|1999.8
|1.087|257.7850968|56.6592075|1991.2
|28.078|279.1223883|-4.0958978|2000.2
4.32|9.82|265.3333421|-26.1420662|1994.4
|23.552|265.6325695|-25.8698003|1994.4
4.98|27.66|265.6375783|-25.999122|1996.8
4.32|21.735|265.4066418|-26.0373389|1991.1
5.51|23.706|265.6092959|-25.8129034|1994.9
|10.675|295.0146083|5.5039334|1995.4
|1.306|295.0456739|5.5669681|1998.9
1.49|6.036|70.6661306|-47.5534075|2000.0
1.82|3.661|66.5007853|-46.3531181|1998.9
||||
|29.469|267.5082645|-35.7341603|1989.6
0.45|22.706|78.5277095|81.6513037|1999.3
1.75|2.156|65.1461239|81.5321331|2001.9
1.81|3.483|5.8665265|24.3069089|2000.0
|23.872|190.01997|-65.6422245|1984.1
||||
|2.627|247.296113|21.1229406|2000.0
|19.691|240.62473|-58.2058531|1980.9
|27.356|240.1936348|-58.3396381|1996.9
|24.791|240.5580874|-58.156287|1991.0
2.07|2.103|32.3278753|-27.2878248|1977.1
|29.573|267.6910074|-39.5546245|1993.2
2.67|1.693|332.8506742|40.9996534|2002.2
