gaia_ra,gaia_dec,gaia_ra_error,gaia_dec_error,gaia_epoch,cat_ra,cat_dec,cat_epoch,delta_mag,dist_sec
65.40019016727416,-27.04609316054017,0.03493599850347027,0.04550117420830172,2015.5,65.400263,-27.046194,1999.7,3.15,0.413
254.39300256751926,-31.37570590993032,1.4910566797003761,0.9339687069036005,2015.5,254.39934,-31.374056,1998.5,3.65,20.334
254.29885973731209,-31.520545494325987,1.5374643857655694,1.1409338275718013,2015.5,254.305199,-31.520784,1998.5,3.61,19.447
254.07163892435952,-31.628937485348228,2.4357186598396945,0.9985158276177274,2015.5,254.076911,-31.633512,1998.5,3.57,23.066
254.17560427134453,-31.67437847840921,1.565271046697232,1.0891503595577312,2015.5,254.178304,-31.666973,1998.5,3.81,27.89
254.15301923335826,-31.495787675629874,1.6804081925610113,1.2233174123507329,2015.5,254.156136,-31.500975,1998.5,3.64,20.985
254.15284699394627,-31.49589894622555,1.6392384135765892,1.1492313903303002,2015.5,254.156136,-31.500975,1998.5,3.57,20.879
254.3479395380302,-31.382459668004323,1.2310664351352614,0.957913869613538,2015.5,254.345967,-31.389671,1998.5,3.33,26.682
254.37618723295662,-31.246262474676858,1.2678622060674114,1.2470475232108218,2015.5,254.376135,-31.250805,1998.5,3.96,16.371
254.2334867403389,-31.343355290097065,1.3098595744292656,0.9529414133899852,2015.5,254.23133,-31.337278,1998.5,4.61,22.853
253.99368421857025,-31.459295582455397,1.8945984648344156,1.0966760019599924,2015.5,253.999108,-31.452885,1998.5,3.39,28.432
254.29518668933304,-31.35566304598321,1.6184587583827226,1.0592079964394474,2015.5,254.296009,-31.348602,1998.5,3.94,25.526
236.0404676375573,-72.55936255144208,0.03930520188473453,0.043768760525773255,2015.5,236.023818,-72.557243,2000.2,0.69,19.537
180.18576535460744,20.848186880832397,0.047755113266332284,0.02893858519036523,2015.5,180.186419,20.84716,1999.4,2.52,4.286
180.13649627171858,20.81528733944885,0.1336998169306355,0.09283739789035092,2015.5,180.137185,20.814257,1999.4,4.24,4.358
308.0096436108601,41.92681990974269,0.6304144673593043,1.005075279092678,2015.5,308.015993,41.927479,1998.5,2.6,17.148
4.60971642938118,-63.47774960730262,0.026070271247373045,0.02538420392495356,2015.5,4.608859,-63.477486,2000.8,0.86,1.662
0.634392555573465,-63.404373096473215,0.02243831050258227,0.02114720046439836,2015.5,0.639076,-63.402081,2000.6,2.47,11.182
4.804660556324898,-62.43368300087373,2.172248939738782,1.2883622813037128,2015.5,4.804011,-62.433479,2000.8,5.33,1.297
3.396207613318845,-63.83916575063653,0.03609256311799485,0.03240191410290411,2015.5,3.395828,-63.83926,2000.6,2.84,0.688
1.9336850056045831,-63.53408702855834,0.20745022847672664,0.18804526687546247,2015.5,1.930729,-63.534149,2000.6,3.34,4.74
1.0333316347129542,-63.70835445266874,0.02580576364370268,0.022010966997976233,2015.5,1.031673,-63.708164,2000.6,2.55,2.722
