source_id,gaia_ra,gaia_dec,gaia_ra_error,gaia_dec_error,pmra,pmdec,pmra_error,pmdec_error,gaia_epoch,cat_ra,cat_dec,cat_epoch,delta_mag,dist_sec
3999433452516434560,180.18576535460744,20.848186880832397,0.047755113266332284,0.02893858519036523,-129.49672692481522,235.9547248878534,0.10426926533681984,0.06096627126712206,2015.5,180.186101,20.847545,2005.4,4.24,2.558
3999432971480096640,180.13649627171858,20.815287339448854,0.1336998169306355,0.09283739789035092,-130.13495603256536,235.45693503154243,0.2696109853220727,0.20932995291348716,2015.5,180.136888,20.814636,2005.4,4.13,2.675
2068138392112597376,308.0096436108601,41.92681990974269,0.6304144673593043,1.005075279092678,21.121711260719152,-5.906500939633043,1.250775726791577,1.7666695815164912,2015.5,308.00967,41.926882,2003.7,3.33,0.208
2686719884389687040,322.9981677135474,-1.3354701376279616,0.5209044850620048,0.5570862837869708,-95.4914424828376,-239.3776220807346,0.9631719380065108,0.959436787843848,2015.5,322.998325,-1.335078,2008.9,2.61,1.495
2590679197266003200,20.87072480698097,15.292488184476044,0.11928456190359442,0.08600391139193052,-33.315634136632966,-312.29271896268267,0.2374754337330161,0.17084405615820875,2015.5,20.870884,15.293755,2000.9,2.81,4.589
4407462419447213184,246.03029789374585,-0.25687997394147943,0.6512075355902094,0.7697671252652071,-0.083737874405371,-9.852902891769457,1.0817718970498025,1.0530545209734838,2015.5,246.03031,-0.256863,2001.4,1.91,0.051
6248026781060670080,236.8006503583471,-19.167650936293413,0.07751601916882196,0.060708801475621375,-68.52537762787695,-79.70363688340196,0.16297050877243935,0.13284715758400326,2015.5,236.800842,-19.167409,2005.4,2.18,1.062
750154972125704960,159.3480777653227,33.939240861978824,0.04447152062293585,0.06569781285878443,65.18228581980243,-19.56851927235327,0.07854602200891983,0.11790345786167886,2015.5,159.347813,33.939315,2004.1,2.39,0.849
750090788134413696,160.7613262061846,34.44400224993012,0.033202962739622914,0.03588355423847641,12.240525843130591,-77.90413060838485,0.06402209211019327,0.08575155638979717,2015.5,160.761298,34.444253,2004.2,1.97,0.923
1042676810880704128,133.9485685281792,61.166644801724864,0.02293470500654605,0.0252706381153454,39.31343844543271,-115.17841617967049,0.049369418360881136,0.051465296128097526,2015.5,133.94825,61.167073,2003.8,0.73,1.659
1042615478747745536,134.7583000684652,60.992638257303035,0.05320563730540367,0.05298236218462343,-50.77293317178293,-155.69661102425312,0.1121303003478445,0.10308028638147072,2015.5,134.758639,60.993149,2003.8,2.64,1.95
1392610405193517952,229.50787521889112,42.25722486417057,0.03931602743242532,0.05033402774117005,13.158307339447024,-8.24016300950964,0.08309249734458769,0.13349015228792796,2015.5,229.507863,42.257243,2003.3,0.82,0.067
1392751005242909184,226.69425697559714,40.67079477320403,0.03754159560469005,0.04564831905014133,-76.72058518308597,-21.23784623624436,0.07730044265302577,0.10036662138970937,2015.5,226.694642,40.670876,2002.1,2.67,1.085
3144837318276010624,117.5616859954904,7.189246217905642,0.057595480251179415,0.037670119287785415,211.54272043199668,-1782.6584231415095,0.12556838487451308,0.07666899969887662,2015.5,117.564286,7.190734,2005.8,0.56,10.712
3144837112117580800,117.56483528464396,7.185929236517684,0.05120693992275816,0.031721318430151885,209.90164003917818,-1790.483683241639,0.10754843635340187,0.06318116320402258,2015.5,117.564486,7.187615,2005.8,1.0,6.222
3938297719794210432,197.1926148335603,18.70168314182444,0.03936888921967036,0.029627404447544938,-105.64114260233902,-297.36012497752466,0.10400427785987673,0.0724309296910918,2015.5,197.192872,18.702497,2005.4,2.28,3.057
3938357986775224960,196.6348461617384,19.042270043543308,0.037710952886747584,0.029908506045957826,38.46764245777645,46.28854159109702,0.09356938383425434,0.06938906945420925,2015.5,196.634722,19.042127,2005.3,2.19,0.673
3874324834754672896,150.04047992114488,6.784129444259079,0.0822789989692849,0.06988606351533393,-94.07710240158372,-74.03197224988159,0.1334266465806196,0.1260010191207985,2015.5,150.040842,6.784399,2002.1,2.42,1.612
3874391389567967872,151.24157630866395,7.014513011680259,0.09683349649687187,0.09454793174654412,-236.8882179012304,10.247605578700137,0.14917831720841174,0.15924364371517966,2015.5,151.242457,7.014479,2002.2,3.18,3.127
3874528072607143296,149.6049402644879,6.9489479525268765,0.04431598198287885,0.04261448366835745,177.54659724813587,-5.951632991698966,0.0851316529749479,0.07732639134479029,2015.5,149.604281,6.948982,2002.2,2.11,2.381
1309964514180794624,254.61026956029247,31.075293813223077,0.014827132945085609,0.019514799855091882,-379.3872833782628,255.2023580958215,0.0337608549647845,0.0462708684710164,2015.5,254.611866,31.074395,2002.4,3.18,5.89
932077863955133184,124.07803877664742,50.047368005016395,0.037696291745859735,0.025768367414761045,-12.299873109333332,-189.5822048979769,0.07028130205678619,0.05098547092002168,2015.5,124.078097,50.048164,2000.3,2.19,2.89
3962469761375921024,189.69042909387292,27.442971411493172,0.058978593609248814,0.03958929726336907,-151.26677368229147,35.773915938319604,0.10411586503585804,0.07004756068129124,2015.5,189.690928,27.442885,2005.0,2.15,1.613
3962195776822305024,190.6172688804484,26.88106520746427,0.08252168725959283,0.05202961189700162,-147.00709739800982,2.0572681090907543,0.13233904789895914,0.09355823819276136,2015.5,190.617762,26.881048,2005.0,2.86,1.574
828682333108901760,157.5734863536059,42.1518597896916,0.09108887615495144,0.09041558751172446,58.849554476825645,-19.3696559163328,0.1610635247075538,0.2008795548827447,2015.5,157.573229,42.151922,2003.0,3.02,0.734
