,gaia_ra,gaia_dec,cat_ra,cat_dec,dt,dm,dist_sec,gaia_pmra,gaia_pmdec,new_pmksi,new_pmeta,F
3999433452516434560,180.18576535460744,20.848186880832397,180.1858329,20.8480858,1.599999999999909,1.67,0.414,-129.49672692481522,235.9547248878534,13.216994098485475,8.291072505955219,65.68948484921248
3999432971480096640,180.13649627171858,20.81528733944885,180.1365741,20.815167499999998,1.900000000000091,,0.49,-130.13495603256536,235.45693503154243,14.118043187165242,11.66893023969331,72.86083626299842
2068138392112597376,308.0096436108601,41.92681990974269,308.0096283000001,41.9268433,2.0,,0.08800000000000001,21.121711260719152,-5.906500939633043,1.9636465201507969,16.59588374635616,6.068737505513258
2288204854134519424,295.01802231584253,73.9113166515956,295.0222533000001,73.91425219999998,1.7000000000000457,,11.357000000000001,-23.87610215163184,296.31286106189134,8.956733912981418,-25.568447517059607,77.45792797463544
2877522230262577024,2.169965152444446,36.626589527193254,2.1700561,36.626655,2.0,,0.325,-114.06869930444664,-124.30038866640952,-2.260761698923978,-19.80221580323189,30.918692362960748
2686719884389687040,322.9981677135474,-1.3354701376279616,322.9982392,-1.3353186000000001,2.5,1.83,0.5760000000000001,-95.4914424828376,-239.3776220807346,8.855181877197358,-18.232439715365008,23.93578014583371
2590679197266003200,20.87072480698097,15.292488184476044,20.8694047,15.2877264,2.200000000000045,1.26,17.753,-33.315634136632966,-312.29271896268267,-1.8756464090638008,9.213036294298863,63.07475013787841
427104673334306176,9.889655116145038,60.55308006404253,9.8898264,60.55325420000001,2.099999999999909,,0.679,-157.50943792383214,-292.54303358867463,-12.223205045771241,41.21182348075218,70.78428162365616
4407462419447213184,246.03029789374585,-0.25687997394147943,246.0256582,-0.25336970000000003,2.099999999999909,2.4,20.954,-0.083737874405371,-9.852902891769457,9.642241457163982,-0.7796587738151503,1.4830310626214616
3371211060034144896,99.10572478759329,18.513547760954005,99.10571170000001,18.5136361,1.900000000000091,1.96,0.34600000000000003,13.252608463043835,-185.62893878477317,-14.523777388931167,-40.00098438222696,42.981287277500456
978086481343568128,107.8658259795923,48.327932722393726,107.8658775,48.3282292,1.7999999999999543,1.53,1.094,-93.0761681487608,-570.5525197717676,-20.3990024031344,-4.901456687113349,106.58989671018871
978092356858891008,108.36412189587375,48.28190587969664,108.36420859999998,48.2820192,1.900000000000091,2.25,0.47,-143.74927811078368,-210.4233835796392,-31.551742021036787,3.6239130002589297,61.4975906580786
1812139404761196288,309.4318567631538,17.120841410302468,309.4347211,17.126956699999994,1.900000000000091,1.03,24.091,43.348784836975966,-43.447164519567956,22.272098380474702,11.953526445161026,12.662817689380713
1812172291325675264,309.68476024991264,17.332419560848983,309.68482610000007,17.3326197,1.900000000000091,1.96,0.728,-116.06367523469402,-381.69447467232857,-23.45979028529117,19.928206046221725,78.06103122719274
750154972125704960,159.3480777653227,33.939240861978824,159.3480285,33.9392636,1.599999999999909,2.26,0.185,65.18228581980243,-19.56851927235327,-22.451187071756557,23.14421437664195,8.936778400216035
750090788134413696,160.7613262061846,34.44400224993012,160.7613158,34.444038299999995,1.599999999999909,1.89,0.151,12.240525843130591,-77.90413060838485,10.911574573632347,19.500292651575574,5.0001189434896665
4396053856737879424,236.514726226569,-7.443348398257524,236.5147692,-7.443325,1.7000000000000457,2.01,0.147,-80.512602923209,-11.860518634155277,-4.646739158943668,44.16378910311269,12.568227767658813
431635455820288128,0.6033724108226648,63.962728059457156,0.6218361,63.96197579999999,2.0,1.01,29.276,918.8525101579885,108.2691665910429,-12.964822511946151,0.6561085859319096,84.00101796634166
1042676810880704128,133.9485685281792,61.166644801724864,133.9485378,61.1667003,1.7000000000000457,,0.228,39.31343844543271,-115.17841617967049,-7.988661997320473,2.9886037115939184,20.013172476688517
1042615478747745536,134.7583000684652,60.992638257303035,134.7583458,60.9927228,1.7000000000000457,2.44,0.33399999999999996,-50.77293317178293,-155.69661102425312,-3.375029497539409,8.594849660781026,36.339863468795116
1392610405193517952,229.50787521889114,42.25722486417057,229.5078661,42.25723060000001,1.7000000000000457,,0.03,13.158307339447026,-8.24016300950964,-1.1604327796234175,-0.7693418398407351,3.745721286481556
1392751005242909184,226.69425697559714,40.67079477320403,226.69430719999997,40.6708161,1.7999999999999543,2.54,0.15,-76.72058518308597,-21.23784623624436,-6.519735222881807,14.114783411634354,16.572177923962062
3144837318276010624,117.5616859954904,7.189246217905643,117.5616114,7.1900336,1.599999999999909,,2.8710000000000004,211.54272043199668,-1782.6584231415095,32.15479491159466,12.896708586020827,145.43049672610172
3144837112117580800,117.56483528464396,7.1859292365176834,117.56475060000001,7.1865989,1.400000000000091,,2.454,209.90164003917818,-1790.483683241639,40.537118739479475,23.234158875608845,131.487807137209
4254989538589230720,283.0789034858078,-4.951026881908285,283.0788175,-4.949456099999999,2.0,,5.643,-21.366734434182888,5.2655836494102015,-283.3291406233824,-61.29049403824446,17.348016293090367
4254990535022557184,283.0245100405172,-4.9227140060963395,283.0238483,-4.9225005999999984,2.0,,2.51,-19.20046730912692,3.374756646308558,615.9354999072366,-36.45350752738052,25.46985581677107
1825762220735511808,295.439639842937,20.32814565128005,295.4388903,20.329343100000006,1.900000000000091,,4.9910000000000005,-15.068650086328715,-15.956334286089945,37.73991932821731,-92.39859681410091,6.2542322204860366
1825768302396459648,295.5300424726575,20.501219532594238,295.5308867,20.499765,1.900000000000091,,5.968999999999999,-8.36401348180045,4.772214329331318,143.60345514039247,169.41550979212627,18.57059287433912
